course_id,year_taken,semester,average_score,standard_deviation
1,2020,1,72.63,4.2
1,2020,2,74.08,4.12
1,2021,1,68.91,1.42
1,2021,2,77.49,10.97
1,2022,1,67.22,6.64
1,2022,2,74.7,8.34
2,2020,1,69.34,9.81
2,2020,2,80.08,2.27
2,2021,1,72.48,5.9
2,2021,2,71.5,2.56
2,2022,1,81.11,6.59
2,2022,2,72.54,3.09
3,2020,1,83.32,10.51
3,2020,2,65.17,2.88
3,2021,1,83.34,1.19
3,2021,2,71.91,7.7
3,2022,1,71.24,6.51
3,2022,2,81.38,5.43
4,2020,1,80.11,5.51
4,2020,2,84.73,6.8
4,2021,1,83.78,10.57
4,2021,2,84.37,10.7
4,2022,1,83.93,9.21
4,2022,2,70.32,9.67
5,2020,1,65.77,7.77
5,2020,2,70.4,4.2
5,2021,1,80.75,10.79
5,2021,2,75.66,8.28
5,2022,1,65.81,1.18
5,2022,2,84.38,8.91
6,2020,1,65.96,9.66
6,2020,2,68.75,4.39
6,2021,1,67.61,7.38
6,2021,2,80.94,1.71
6,2022,1,84.28,7.08
6,2022,2,67.94,10.11
7,2020,1,67.29,9.39
7,2020,2,82,8.35
7,2021,1,67.51,5.21
7,2021,2,79.59,4.85
7,2022,1,79.73,6.26
7,2022,2,73.43,6.29
8,2020,1,75.76,1.89
8,2020,2,81.6,9.84
8,2021,1,83.59,10.95
8,2021,2,68.78,10.58
8,2022,1,69.44,3.36
8,2022,2,75.33,9.73
